ID,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,y,x,20-30대 성비율
완주,전라북도,완주군,18698,9978,8722,20798,91372,0.4194,1,0,17,4,-0.12587692924433758
익산,전라북도,익산시,65967,35263,30705,54379,283174,0.5646,0,0,16,3,-0.12925729518191875
임실,전라북도,임실군,4387,2476,1912,9834,27928,0.1944,1,1,19,4,-0.22778675282714056
장수,전라북도,장수군,3345,1807,1540,7397,22159,0.2082,1,0,17,5,-0.1477587161040399
정읍,전라북도,정읍시,19791,10703,9088,29484,108474,0.3082,1,0,18,2,-0.15089227319443144
진안,전라북도,진안군,3712,1964,1749,8706,25361,0.2009,1,0,18,4,-0.10947046843177188
서귀포,제주특별자치도,서귀포시,39418,20467,18952,34153,180430,0.5549,0,0,26,5,-0.07402159573948308
제주,제주특별자치도,제주시,125959,65081,60878,67662,486839,0.8997,0,0,25,5,-0.06458106052457702
계룡,충청남도,계룡시,9618,5057,4561,4911,42707,0.9287,0,0,14,4,-0.09808186671939889
공주,충청남도,공주시,21344,11601,9744,26790,104677,0.3637,1,0,13,3,-0.16007240755107321
금산,충청남도,금산군,8019,4415,3606,15693,51373,0.2298,1,0,15,3,-0.1832389580973952
논산,충청남도,논산시,22593,12305,10290,30245,116626,0.3402,1,0,14,3,-0.16375457131247462
당진,충청남도,당진시,39714,22741,16973,30399,165750,0.5583,0,0,11,2,-0.2536388021634932
천안 동남,충청남도,동남구,69089,36401,32688,35681,256758,0.9161,0,0,12,4,-0.10200269223372982
보령,충청남도,보령시,19330,10888,8443,25346,99853,0.3331,1,0,13,1,-0.22455914768552532
부여,충청남도,부여군,10100,5680,4421,22164,65431,0.1995,1,1,14,2,-0.2216549295774648
천안 서북,충청남도,서북구,131984,69582,62402,33268,394727,1.8757,0,0,12,3,-0.10318760599005494
서산,충청남도,서산시,41640,23634,18008,31571,174315,0.5704,0,0,11,1,-0.238046881611238
서천,충청남도,서천군,7565,4317,3248,18551,51821,0.1751,1,1,15,2,-0.24762566597173963
아산,충청남도,아산시,85688,46355,39333,40747,313250,0.9653,0,0,11,3,-0.15148311940459502
예산,충청남도,예산군,13242,7406,5837,23994,78072,0.2433,1,0,12,2,-0.21185525249797466
청양,충청남도,청양군,4931,2818,2113,10851,31134,0.1947,1,1,13,2,-0.2501774308019872
태안,충청남도,태안군,10451,5982,4471,18864,62051,0.237,1,0,11,0,-0.2525911066532932
홍성,충청남도,홍성군,20483,10932,9551,23306,99547,0.4098,1,0,12,1,-0.12632638126600804
괴산,충청북도,괴산군,6048,3483,2567,12747,38968,0.2014,1,0,12,8,-0.26299167384438704
단양,충청북도,단양군,4411,2480,1931,8752,29143,0.2206,1,0,11,7,-0.22137096774193543
보은,충청북도,보은군,4706,2660,2047,10967,32403,0.1867,1,1,13,8,-0.2304511278195489
청주 상당,충청북도,상당구,45413,23876,21537,28094,183083,0.7666,0,0,14,7,-0.09796448316300888
청주 서원,충청북도,서원구,52446,27705,24741,28508,197773,0.8679,0,0,14,6,-0.10698429886302108
영동,충청북도,영동군,8038,4375,3663,14708,47737,0.249,1,0,15,7,-0.1627428571428572
옥천,충청북도,옥천군,8472,4635,3839,14710,50381,0.261,1,0,15,6,-0.17173678532901837
음성,충청북도,음성군,19630,11185,8445,19252,93181,0.4387,1,0,11,5,-0.24497094322753687
제천,충청북도,제천시,28234,15216,13018,28247,132883,0.4609,1,0,10,7,-0.14445320715036802
증평,충청북도,증평군,9381,5305,4077,6236,36893,0.6538,0,0,13,7,-0.23147973609802075
진천,충청북도,진천군,20447,11435,9013,13290,81958,0.6782,0,0,12,5,-0.2118058592041976
청주 청원,충청북도,청원구,58449,31789,26661,23978,194256,1.1119,0,0,13,6,-0.16131366195853913
충주,충청북도,충주시,47962,26670,21293,40566,209084,0.5249,0,0,12,7,-0.20161229846269213
청주 흥덕,충청북도,흥덕구,81443,43471,37975,28478,262632,1.3335,0,0,12,6,-0.1264291136619815
