상호,주소,가격,셀프,상표,구
이케이에너지 주식회사,서울 도봉구 도봉로 941 (도봉동),1746,Y,HD현대오일뱅크,도봉구
극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),1759,Y,S-OIL,도봉구
삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),1764,Y,SK에너지,도봉구
지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),1764,Y,GS칼텍스,도봉구
(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1764,Y,S-OIL,도봉구
도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),1764,N,HD현대오일뱅크,도봉구
(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),1764,Y,HD현대오일뱅크,도봉구
한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1764,Y,S-OIL,도봉구
구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),1767,Y,S-OIL,도봉구
지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,1769,Y,GS칼텍스,도봉구
동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),1777,Y,SK에너지,도봉구
(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1795,Y,HD현대오일뱅크,도봉구
대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1799,Y,GS칼텍스,도봉구
HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,1807,N,HD현대오일뱅크,도봉구
노원교주유소,서울 도봉구 마들로 776 (도봉동),1834,Y,HD현대오일뱅크,도봉구
오복주유소,서울 도봉구 방학로 43,1852,Y,S-OIL,도봉구
(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1769,Y,SK에너지,강남구
HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,1788,Y,HD현대오일뱅크,강남구
삼성동주유소,서울 강남구 테헤란로 619 (삼성동),1795,Y,HD현대오일뱅크,강남구
방죽주유소,서울 강남구 밤고개로 215 (율현동),1797,Y,GS칼텍스,강남구
오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1815,Y,SK에너지,강남구
자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1815,Y,SK에너지,강남구
HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1819,Y,HD현대오일뱅크,강남구
HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),1834,N,HD현대오일뱅크,강남구
극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),1835,Y,S-OIL,강남구
일원주유소,서울 강남구 양재대로55길 3 (일원동),1855,Y,S-OIL,강남구
지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),1859,Y,GS칼텍스,강남구
(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),1865,Y,SK에너지,강남구
대교셀프주유소,서울 강남구 강남대로 640 (신사동),1870,Y,SK에너지,강남구
SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,1879,N,SK에너지,강남구
SK서광주유소,서울 강남구 역삼로 142,1885,Y,SK에너지,강남구
